labMIT-1.0.txt;;;;;;;
language assessment by Mechanical Turk 1.0;;;;;;;
;;;;;;;
word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
laughter;1;aug.50;0.9313;3600;--;--;1728
happiness;2;aug.44;0.9723;1853;2458;--;1230
love;3;aug.42;11.082;25;317;328;23
happy;4;aug.30;0.9949;65;1372;1313;375
laughed;5;aug.26;11.572;3334;3542;--;2332
laugh;6;aug.22;13.746;1002;3998;4488;647
laughing;7;aug.20;11.066;1579;--;--;1122
excellent;8;aug.18;11.008;1496;1756;3155;--
laughs;9;aug.18;11.551;3554;--;--;2856
joy;10;aug.16;10.568;988;2336;2723;809
successful;11;aug.16;10.759;2176;1198;1565;--
win;12;08.dec;10.812;154;3031;776;694
rainbow;13;08.okt;0.9949;2726;--;--;1723
smile;14;08.okt;10.152;925;2666;2898;349
won;15;08.okt;12.164;810;1167;439;1493
pleasure;16;08.aug;0.9655;1497;1526;4253;1398
smiled;17;08.aug;10.660;--;3537;--;2248
rainbows;18;08.jun;13.603;--;--;--;4216
winning;19;08.apr;10.490;1876;--;1426;3646
celebration;20;08.feb;15.318;3306;--;2762;4070
enjoyed;21;08.feb;15.318;1530;2908;3502;--
healthy;22;08.feb;10.593;1393;3200;3292;4619
music;23;08.feb;11.156;132;875;167;374
celebrating;24;8.00;11.429;2550;--;--;--
congratulations;25;8.00;16.288;2246;--;--;--
weekend;26;8.00;12.936;317;--;833;2256
celebrate;27;jul.98;11.516;1606;--;3574;2108
comedy;28;jul.98;11.516;1444;--;2566;--
jokes;29;jul.98;0.9792;2812;--;--;3808
rich;30;jul.98;13.169;1625;1221;1469;890
victory;31;jul.98;10.784;1809;2341;687;2845
christmas;32;jul.96;12.930;138;3846;2097;599
free;33;jul.96;12.610;85;342;393;219
friendship;34;jul.96;11.241;4273;3098;3669;3980
fun;35;jul.96;13.087;110;4135;2189;463
holidays;36;jul.96;12.610;1204;--;--;--
loved;37;jul.96;11.599;465;2178;890;517
loves;38;jul.96;13.696;780;--;--;653
loving;39;jul.96;10.093;947;4396;230;527
beach;40;jul.94;10.577;573;3596;551;1475
hahaha;41;jul.94;15.572;428;--;--;--
kissing;42;jul.94;11.323;--;--;--;2052
sunshine;43;jul.94;11.678;2080;--;--;950
beautiful;44;jul.92;11.753;266;1159;1754;467
delicious;45;jul.92;12.591;1565;--;--;--
friends;46;jul.92;11.925;258;658;347;321
funny;47;jul.92;10.467;358;--;3194;755
outstanding;48;jul.92;11.400;4468;4721;1797;--
paradise;49;jul.92;13.974;3096;--;--;1146
sweetest;50;jul.92;12.911;--;--;--;2232
vacation;51;jul.92;19.042;952;--;3251;3780
butterflies;52;jul.92;10.770;--;--;--;4175
freedom;53;jul.90;14.178;1465;933;1844;879
flower;54;jul.88;11.718;2769;3675;--;1929
great;55;jul.88;12.061;94;110;219;579
sunlight;56;jul.88;14.934;--;--;--;2316
sweetheart;57;jul.88;12.720;3055;--;--;2919
sweetness;58;jul.88;11.891;--;--;--;4465
award;59;jul.86;15.651;1715;--;1429;--
chocolate;60;jul.86;10.304;436;--;--;2695
hahahaha;61;jul.86;17.025;1341;--;--;--
heaven;62;jul.86;15.780;1294;1615;3939;392
peace;63;jul.86;13.403;675;702;775;559
splendid;64;jul.86;14.570;--;4763;--;--
success;65;jul.86;16.414;657;847;1338;3316
enjoying;66;jul.84;15.032;875;--;--;--
kissed;67;jul.84;15.048;--;--;--;1322
attraction;68;jul.82;10.240;--;--;--;4179
celebrated;69;jul.80;11.780;--;3720;3432;--
hero;70;jul.80;13.997;1867;3362;3816;1648
hugs;71;jul.80;14.428;1868;--;--;--
positive;72;jul.80;12.454;1728;958;2139;3575
sun;73;jul.80;13.553;439;978;2010;214
birthday;74;jul.78;19.091;190;--;2241;2529
blessed;75;jul.78;12.824;1733;3876;--;1618
fantastic;76;jul.78;10.934;1354;--;--;--
winner;77;jul.78;16.938;1793;--;1916;3199
delight;78;jul.78;14.181;--;3954;--;2987
beauty;79;jul.76;16.107;1032;1611;2519;1013
butterfly;80;jul.76;13.334;4332;--;--;2836
entertainment;81;jul.76;12.216;2247;--;1712;--
funniest;82;jul.76;15.592;3451;--;--;--
honesty;83;jul.76;12.707;--;--;--;3653
sky;84;jul.76;10.797;842;2374;4221;274
smiles;85;jul.76;17.907;2971;--;--;1782
succeed;86;jul.76;16.971;--;4088;3212;4270
wonderful;87;jul.76;17.907;749;2841;1571;1188
glorious;88;jul.74;13.969;--;4792;--;3926
kisses;89;jul.74;11.920;2942;--;--;1340
promotion;90;jul.74;13.822;3037;4108;4849;--
family;91;jul.72;13.099;203;235;109;738
gift;92;jul.72;13.407;443;2734;2672;1710
humor;93;jul.72;10.887;1516;--;1826;--
romantic;94;jul.72;11.959;2535;3812;4200;4201
cupcakes;95;jul.70;12.330;3799;--;--;--
festival;96;jul.70;10.738;2024;--;1020;--
hahahahaha;97;jul.70;13.590;3436;--;--;--
honour;98;jul.70;12.495;--;2713;--;--
relax;99;jul.70;10.738;1986;--;--;1752
weekends;100;jul.70;17.871;4100;--;--;--
angel;101;jul.68;12.362;1299;4854;--;578
b-day;102;jul.68;15.312;--;--;--;--
bonus;103;jul.68;14.630;3131;--;--;--
brilliant;104;jul.68;16.218;1843;3670;3679;--
diamonds;105;jul.68;14.769;--;--;--;1457
holiday;106;jul.68;13.005;434;--;1895;2241
lucky;107;jul.68;12.688;537;--;4327;975
mother;108;jul.68;16.714;626;437;170;549
super;109;jul.68;15.964;408;--;2673;1726
amazing;110;jul.66;14.930;316;--;--;2297
angels;111;jul.66;14.654;3233;4944;--;815
enjoy;112;jul.66;14.654;518;2605;3091;1878
friend;113;jul.66;15.066;186;768;394;308
friendly;114;jul.66;15.467;1841;3095;4290;3042
mother's;115;jul.66;12.875;--;3434;--;--
profit;116;jul.66;12.390;1890;2140;2107;--
finest;117;jul.66;13.875;--;--;--;3225
bday;118;jul.64;16.753;825;--;--;--
champion;119;jul.64;12.249;3165;--;1772;--
grandmother;120;jul.64;13.516;--;--;505;--
haha;121;jul.64;13.815;135;--;--;3211
kiss;122;jul.64;17.585;711;--;--;314
